сегодня в 07:19  В разработке находится игровая адаптация мультсериала "Инспектор Гаджет"
29 марта  В российской Lineage 2 установят обновление "Conquest: The Source of Flame
28 марта  Все, что было анонсировано во время сегодняшнего Dungeons & Dragons Direct 2023
28 марта  Minecraft Dungeons & Dragons обещает 10-часовую кампанию с разветвленным повествованием
28 марта  Анонсирован 2D-платформер Klaus Lee: Thunderballs для Switch и ПК
28 марта  Создатель Kerbal Space Program анонсировал платформу для создания моделей транспортных средств Kitbash Model Club
28 марта  Gaijin про апрельское событие "Страницы истории" в War Thunder
28 марта  Создатели одного из самых популярных модов для Slay The Spire анонсировали свою полноценную игру Tales & Tactics
27 марта  Анонсирован ковбойский экшн Cowboys and Rustlers
26 марта  Приключение на выживание на воздушном шаре Passing By - A Tailwind Journey выйдет на ПК в третьем квартале 2023 года
24 марта  Симулятор вандализма Sludge Life 2 выпустят до конца 2023 года
24 марта  Pizza Possum это как Untitled Goose Game, но с опоссумом вместо гуся
24 марта  Анонсирована Hello Neighbor VR: Search and Rescue
24 марта  Используйте части своего тела для решения VR-головоломок в Another Fisherman's Tale
